credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,BalanceSalaryRatio,TenureByAge,CreditScoreByAge
530,Spain,Female,41,4,0.0,2,0,1,147606.71,0,0.0,0.0952380952380952,12.61904761904762
618,France,Female,40,0,0.0,1,1,0,119059.13,0,0.0,0.0,15.073170731707316
713,France,Female,59,3,0.0,2,1,1,62700.08,0,0.0,0.05,11.883333333333333
461,Spain,Female,35,8,0.0,1,1,0,132295.95,0,0.0,0.2222222222222222,12.805555555555555
758,Germany,Male,32,4,162657.64,2,1,1,115525.13,0,1.4079727244390512,0.1212121212121212,22.96969696969697
657,France,Female,28,7,0.0,2,0,1,5177.62,0,0.0,0.2413793103448276,22.655172413793103
767,France,Female,34,8,0.0,2,1,0,94767.77,0,0.0,0.2285714285714285,21.914285714285715
705,Germany,Female,48,1,156848.13,2,1,1,99475.95,1,1.5767283777799783,0.0204081632653061,14.387755102040815
809,France,Male,38,3,0.0,2,1,1,80061.31,0,0.0,0.0769230769230769,20.743589743589745
564,Germany,Female,33,2,115761.51,1,0,1,112350.21,1,1.030353923202073,0.0588235294117647,16.58823529411765
737,France,Male,44,7,0.0,2,0,0,57898.58,0,0.0,0.1555555555555555,16.377777777777776
646,France,Female,51,4,101629.3,1,0,0,130541.1,0,0.7785174284770966,0.0769230769230769,12.423076923076923
741,France,Male,37,9,105261.76,2,1,1,149503.54,0,0.704070658991359,0.2368421052631578,19.5
607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0,13.221779365771912,0.1785714285714285,21.678571428571427
698,France,Female,51,6,144237.91,4,1,0,157143.61,1,0.9178673706976016,0.1153846153846153,13.423076923076923
667,Germany,Female,37,5,92171.35,3,1,0,178106.34,1,0.5175045003760093,0.131578947368421,17.55263157894737
537,Germany,Female,37,7,158411.95,4,1,1,117690.58,1,1.345992211167528,0.1842105263157894,14.13157894736842
699,Germany,Male,36,2,123601.56,2,1,0,103557.85,0,1.1935393257070737,0.054054054054054,18.89189189189189
612,Spain,Female,36,5,119799.27,2,1,0,159416.58,0,0.7514809219911631,0.1351351351351351,16.54054054054054
659,France,Female,38,9,0.0,2,1,1,132809.18,0,0.0,0.2307692307692307,16.897435897435898
766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0,64.27962532033344,0.1794871794871795,19.64102564102564
781,Spain,Male,35,4,80790.74,1,1,0,116429.51,0,0.6938966427270653,0.1111111111111111,21.694444444444443
640,France,Male,28,7,0.0,2,1,1,131097.9,0,0.0,0.2413793103448276,22.06896551724138
850,France,Female,34,4,71379.53,2,1,1,154000.99,0,0.4634974522082474,0.1142857142857142,24.285714285714285
534,France,Male,52,1,0.0,3,1,1,104035.41,1,0.0,0.0188679245283018,10.075471698113208
671,France,Female,31,6,0.0,2,1,1,15846.42,0,0.0,0.1875,20.96875
617,France,Male,30,3,132005.77,1,1,0,142940.39,0,0.9234957768355266,0.0967741935483871,19.90322580645161
696,France,Male,27,4,87637.26,2,0,0,196111.35,0,0.4468727237218869,0.1428571428571428,24.857142857142858
704,Germany,Male,41,4,109026.8,2,1,1,43117.1,0,2.5285622511196,0.0952380952380952,16.761904761904763
597,Spain,Female,30,2,119370.11,1,1,1,182726.22,1,0.6532694472120792,0.064516129032258,19.258064516129032
634,France,Female,41,7,0.0,2,1,1,131284.93,0,0.0,0.1666666666666666,15.095238095238097
728,Germany,Female,32,9,127772.1,2,1,1,152643.48,0,0.8370568002197001,0.2727272727272727,22.060606060606062
528,Germany,Male,32,2,99092.45,1,0,1,111149.98,0,0.8915121576076073,0.0606060606060606,16.0
699,Spain,Male,40,2,0.0,1,1,0,78387.32,0,0.0,0.048780487804878,17.048780487804876
597,France,Male,19,2,0.0,2,1,1,91036.74,0,0.0,0.1,29.85
535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0,0.8779100017323591,0.2222222222222222,14.86111111111111
850,Spain,Male,28,9,97408.03,1,1,1,175853.64,0,0.5539121970281818,0.3103448275862069,29.310344827586206
761,France,Male,36,9,127637.92,1,1,1,81062.93,0,1.574534074526118,0.2432432432432432,20.56756756756757
740,Germany,Male,40,4,114318.78,2,1,0,129333.69,1,0.883898820958244,0.0975609756097561,18.04878048780488
691,France,Female,34,7,0.0,2,0,1,161559.12,0,0.0,0.2,19.742857142857144
783,France,Male,40,6,0.0,2,1,0,109742.55,0,0.0,0.1463414634146341,19.09756097560976
837,Germany,Male,35,0,144037.6,1,1,0,145325.32,0,0.991132232619666,0.0,23.25
620,France,Female,41,9,0.0,2,0,0,88852.47,0,0.0,0.2142857142857142,14.761904761904765
790,Spain,Male,32,3,0.0,1,1,0,91044.47,0,0.0,0.0909090909090909,23.939393939393938
653,Germany,Male,31,2,154741.45,2,0,0,25183.01,0,6.144432518887978,0.0625,20.40625
617,Spain,Male,34,9,0.0,2,1,0,118749.58,0,0.0,0.2571428571428571,17.62857142857143
850,Spain,Female,24,1,0.0,2,0,1,69052.87,0,0.0,0.04,34.0
