credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,BalanceSalaryRatio,TenureByAge,CreditScoreByAge
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.046511627906976744,14.395348837209303
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,0.023809523809523808,14.476190476190476
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,0.18604651162790697,11.674418604651162
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,0.025,17.475
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,0.045454545454545456,19.318181818181817
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,0.17777777777777778,14.333333333333334
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.13725490196078433,16.11764705882353
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692031,0.13333333333333333,12.533333333333333
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,0.08888888888888889,11.133333333333333
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,0.07142857142857142,24.428571428571427
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,0.1875,16.5
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.12,19.88
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.2857142857142857,13.6
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.19230769230769232,21.115384615384617
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.19444444444444445,17.63888888888889
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.224984944408569,0.06521739130434782,13.391304347826088
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.00734701402523,0.01694915254237288,11.067796610169491
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.36,21.96
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.13043478260869565,12.76086956521739
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.24,29.04
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.19047619047619047,17.428571428571427
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.24242424242424243,19.272727272727273
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.10256410256410256,13.076923076923077
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.06382978723404255,14.23404255319149
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.1282051282051282,21.692307692307693
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.11538461538461539,22.192307692307693
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045946038927224,0.05405405405405406,20.43243243243243
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.2,12.688888888888888
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108358619852612,0.06818181818181818,13.045454545454545
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.116164378234249,0.0,13.7
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.075,14.775
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443126143705237,0.1891891891891892,14.405405405405405
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.3444785769344276,0.21428571428571427,13.166666666666666
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.13953488372093023,12.093023255813954
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.3,24.066666666666666
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825477582474692,0.0,10.326086956521738
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.2734555080720873,0.09375,15.3125
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775026928696469,0.20588235294117646,23.647058823529413
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.1891891891891892,22.972972972972972
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950552531112726,0.14285714285714285,13.857142857142858
